R	G	B	Color_hex
255	204	255	#ffccff
0	255	255	#00ffff
255	255	0	#ffff00
255	84	0	#ff5400
0	255	84	#00ff54
84	0	255	#5400ff
170	0	170	#aa00aa
0	170	170	#00aaaa
170	170	0	#aaaa00
255	0	127	#ff007f
153	76	0	#994c00
0	115	0	#007300
255	0	255	#ff00ff
0	127	255	#007fff
255	101	101	#ff6565
237	238	0	#edee00
101	255	101	#65ff65
101	254	255	#65feff
101	101	255	#6565ff
255	101	254	#ff65fe
255	178	101	#ffb265
178	255	101	#b2ff65
0	223	95	#00df5f
101	178	255	#65b2ff
178	101	255	#b265ff
255	153	204	#ff99cc
153	0	0	#990000
153	153	0	#999900
0	153	0	#009900
0	153	153	#009999
50	50	204	#3232cc
153	0	153	#990099
127	255	0	#7fff00
76	153	0	#4c9900
50	127	204	#327fcc
127	50	204	#7f32cc
153	51	102	#993366
255	152	152	#ff9898
255	255	152	#ffff98
152	255	152	#98ff98
152	255	255	#98ffff
152	152	255	#9898ff
255	152	255	#ff98ff
255	229	152	#ffe598
229	255	152	#e5ff98
51	255	178	#33ffb2
152	229	255	#98e5ff
229	152	255	#e598ff
